sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Chelonia mydas,2019-07-01,24.542,52.943,NA,10,27.89,38.64,Green
Chelonia mydas,2018-04-07,24.632,53.053,NA,2,27.91,38.67,Green
Caretta caretta,2011-02-05,14.02756,54.87773,Juvenile,2573,27.04,36.07,Loggerhead
Chelonia mydas,2018-05-21,21.795,60.133,NA,2670,26.41,36.42,Green
Caretta caretta,2012-05-17,15.51065,54.81164,Juvenile,3087,26.95,36.09,Loggerhead
Caretta caretta,2011-04-29,14.77823,56.31737,Juvenile,2103,26.95,36.11,Loggerhead
Chelonia mydas,2016-09-07,24.685,52.966,NA,13,27.86,38.67,Green
Chelonia mydas,2016-08-03,25.728,55.772,NA,7,28.19,38.72,Green
Chelonia mydas,2016-12-15,24.603,54.42,NA,6,28.11,38.94,Green
Chelonia mydas,2018-07-30,20.762,59.181,NA,81,25.9,36.14,Green
Chelonia mydas,2018-11-10,24.56,53.416,NA,11,28.02,38.74,Green
Chelonia mydas,2018-04-21,24.501,53.146,NA,14,27.94,38.67,Green
Chelonia mydas,2017-04-28,25.734,55.866,NA,2,NA,NA,Green
Caretta caretta,2011-07-15,7.51731,60.16223,Juvenile,2367,28.45,35.82,Loggerhead
